Drugs,Genes,Pathways
['NaN'],AKT1,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],AKT1S1,"['mTOR signaling pathway', 'AMPK signaling pathway']"
['NaN'],AKT2,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],AKT3,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Sphingolipid signaling pathway', 'Phospholipase D signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'VEGF signaling pathway', 'Apelin signaling pathway', 'Toll-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'JAK-STAT signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'Fc epsilon RI signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Estrogen signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],ALDOA,['HIF-1 signaling pathway']
['NaN'],AMH,"['cAMP signaling pathway', 'TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],ANAPC1,['Cell cycle']
['NaN'],ANAPC10,['Cell cycle']
['NaN'],ANAPC11,['Cell cycle']
['NaN'],ANAPC13,['Cell cycle']
['NaN'],ANAPC2,['Cell cycle']
['NaN'],ANAPC4,['Cell cycle']
['NaN'],ANAPC5,['Cell cycle']
['NaN'],ANAPC7,['Cell cycle']
['NaN'],APAF1,['p53 signaling pathway']
['NaN'],APC,"['Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],APH1A,['Notch signaling pathway']
['NaN'],APH1B,['Notch signaling pathway']
['NaN'],ARF1,['Phospholipase D signaling pathway']
['NaN'],ARF6,"['Ras signaling pathway', 'Phospholipase D signaling pathway']"
['NaN'],ARHGDIA,['Neurotrophin signaling pathway']
['NaN'],ARHGDIB,['Neurotrophin signaling pathway']
['NaN'],ARHGEF12,['C-type lectin receptor signaling pathway']
['NaN'],ARNT,['HIF-1 signaling pathway']
['NaN'],ARRB1,"['MAPK signaling pathway', 'Chemokine signaling pathway', 'Hedgehog signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ARRB2,"['MAPK signaling pathway', 'Chemokine signaling pathway', 'Hedgehog signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ATF2,"['MAPK signaling pathway', 'cGMP-PKG signaling pathway', 'PI3K-Akt signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ATF4,"['MAPK signaling pathway', 'cGMP-PKG signaling pathway', 'PI3K-Akt signaling pathway', 'TNF signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ATF6B,"['cGMP-PKG signaling pathway', 'PI3K-Akt signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Relaxin signaling pathway']"
['NaN'],ATG12,"['FoxO signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],ATG16L1,['NOD-like receptor signaling pathway']
['NaN'],ATG5,"['NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],ATM,"['FoxO signaling pathway', 'p53 signaling pathway', 'Cell cycle']"
['NaN'],ATP1A1,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],ATP1B1,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],ATP1B3,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],ATP2A2,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],ATP2B1,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway']"
['NaN'],ATP2B4,"['Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway']"
['NaN'],ATP6V1A,['mTOR signaling pathway']
['NaN'],ATP6V1B2,['mTOR signaling pathway']
['NaN'],ATP6V1C1,['mTOR signaling pathway']
['NaN'],ATP6V1D,['mTOR signaling pathway']
['NaN'],ATP6V1E1,['mTOR signaling pathway']
['NaN'],ATP6V1E2,['mTOR signaling pathway']
['NaN'],ATP6V1F,['mTOR signaling pathway']
['NaN'],ATP6V1G1,['mTOR signaling pathway']
['NaN'],ATP6V1H,['mTOR signaling pathway']
['NaN'],ATR,"['p53 signaling pathway', 'Cell cycle']"
['NaN'],AXIN1,"['Wnt signaling pathway', 'Hippo signaling pathway']"
['NaN'],AZI2,['RIG-I-like receptor signaling pathway']
['Navitoclax'],BAD,"['ErbB signaling pathway', 'Ras signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],BAG4,['TNF signaling pathway']
['NaN'],BAMBI,"['Wnt signaling pathway', 'TGF-beta signaling pathway']"
['NaN'],BAX,"['Sphingolipid signaling pathway', 'p53 signaling pathway', 'Neurotrophin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],BBC3,"['p53 signaling pathway', 'Hippo signaling pathway']"
['NaN'],BCAR1,"['Rap1 signaling pathway', 'Chemokine signaling pathway']"
['NaN'],BCL10,"['C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway']"
['NaN'],BCL2L1,"['Ras signaling pathway', 'NF-kappa B signaling pathway', 'p53 signaling pathway', 'PI3K-Akt signaling pathway', 'NOD-like receptor signaling pathway', 'JAK-STAT signaling pathway']"
['NaN'],BCL2L11,"['FoxO signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],BCL3,['C-type lectin receptor signaling pathway']
['NaN'],BCL6,['FoxO signaling pathway']
['NaN'],BECN1,['Apelin signaling pathway']
['NaN'],BID,"['Sphingolipid signaling pathway', 'p53 signaling pathway']"
['NaN'],BIRC2,"['NF-kappa B signaling pathway', 'Hippo signaling pathway', 'NOD-like receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],BIRC5,['Hippo signaling pathway']
['NaN'],BMPR1A,"['TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],BMPR2,"['TGF-beta signaling pathway', 'Hippo signaling pathway']"
['NaN'],BNIP3,['FoxO signaling pathway']
"['Dabrafenib', 'Sorafenib']",BRAF,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Rap1 signaling pathway', 'cAMP signaling pathway', 'Chemokine signaling pathway', 'FoxO signaling pathway', 'mTOR signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway']"
['NaN'],BRAP,['Ras signaling pathway']
['NaN'],BTRC,"['Wnt signaling pathway', 'Hedgehog signaling pathway', 'Hippo signaling pathway']"
['NaN'],BUB1,['Cell cycle']
['NaN'],BUB1B,['Cell cycle']
['NaN'],BUB3,['Cell cycle']
['NaN'],CAB39,"['mTOR signaling pathway', 'AMPK signaling pathway']"
['NaN'],CAB39L,"['mTOR signaling pathway', 'AMPK signaling pathway']"
['NaN'],CACNB1,"['MAPK signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],CACNB3,"['MAPK signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],CACYBP,['Wnt signaling pathway']
['NaN'],CALM1,"['Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CALM2,"['Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CALM3,"['Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CALML4,"['Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'Apelin signaling pathway', 'C-type lectin receptor signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CAMK2D,"['ErbB signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'HIF-1 signaling pathway', 'Wnt signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CAMK2G,"['ErbB signaling pathway', 'Calcium signaling pathway', 'cAMP signaling pathway', 'HIF-1 signaling pathway', 'Wnt signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'Oxytocin signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CAMKK2,"['AMPK signaling pathway', 'Adipocytokine signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],CARD10,['NF-kappa B signaling pathway']
['NaN'],CARD8,['NOD-like receptor signaling pathway']
['NaN'],CASP3,"['MAPK signaling pathway', 'p53 signaling pathway', 'TNF signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],CASP4,['NOD-like receptor signaling pathway']
['NaN'],CASP7,['TNF signaling pathway']
['NaN'],CASP8,"['p53 signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],CASP9,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'VEGF signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],CAT,['FoxO signaling pathway']
['NaN'],CBL,"['ErbB signaling pathway', 'Insulin signaling pathway']"
['NaN'],CBLB,"['ErbB signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'Insulin signaling pathway']"
['NaN'],CCNA2,"['AMPK signaling pathway', 'Cell cycle']"
['NaN'],CCNB1,"['FoxO signaling pathway', 'p53 signaling pathway', 'Cell cycle']"
['NaN'],CCNB2,"['FoxO signaling pathway', 'p53 signaling pathway', 'Cell cycle']"
['NaN'],CCND1,"['FoxO signaling pathway', 'p53 signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Wnt signaling pathway', 'Hedgehog signaling pathway', 'Apelin signaling pathway', 'Hippo signaling pathway', 'JAK-STAT signaling pathway', 'Prolactin signaling pathway', 'Thyroid hormone signaling pathway', 'Oxytocin signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications', 'Cell cycle']"
['NaN'],CCND3,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway', 'JAK-STAT signaling pathway', 'Cell cycle']"
['NaN'],CCNE1,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'Cell cycle']"
['NaN'],CCNE2,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'Cell cycle']"
['NaN'],CCNG1,['p53 signaling pathway']
['NaN'],CCNG2,"['FoxO signaling pathway', 'p53 signaling pathway']"
['NaN'],CCNH,['Cell cycle']
['NaN'],CD82,['p53 signaling pathway']
['NaN'],CDC14A,['Cell cycle']
['NaN'],CDC14B,['Cell cycle']
['NaN'],CDC16,['Cell cycle']
['NaN'],CDC20,['Cell cycle']
['NaN'],CDC23,['Cell cycle']
['NaN'],CDC25A,['Cell cycle']
['NaN'],CDC25B,"['MAPK signaling pathway', 'Cell cycle']"
['NaN'],CDC25C,['Cell cycle']
['NaN'],CDC26,['Cell cycle']
['NaN'],CDC27,['Cell cycle']
['NaN'],CDC37,['PI3K-Akt signaling pathway']
['NaN'],CDC42,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'VEGF signaling pathway', 'T cell receptor signaling pathway', 'Neurotrophin signaling pathway', 'GnRH signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],CDC45,['Cell cycle']
['NaN'],CDC6,['Cell cycle']
['NaN'],CDC7,['Cell cycle']
['NaN'],CDK1,"['p53 signaling pathway', 'Cell cycle']"
['Staurosporine'],CDK2,"['FoxO signaling pathway', 'p53 signaling pathway', 'PI3K-Akt signaling pathway', 'Cell cycle']"
"['Palbociclib', 'Ribociclib']",CDK4,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'T cell receptor signaling pathway', 'Cell cycle']"
"['Palbociclib', 'Ribociclib']",CDK6,"['p53 signaling pathway', 'PI3K-Akt signaling pathway', 'Cell cycle']"
['NaN'],CDK7,['Cell cycle']
['NaN'],CDKN1A,"['ErbB signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'p53 signaling pathway', 'PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway', 'Oxytocin signaling pathway', 'Cell cycle']"
['NaN'],CDKN1B,"['ErbB signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'PI3K-Akt signaling pathway', 'Cell cycle']"
['NaN'],CDKN2C,['Cell cycle']
['NaN'],CDKN2D,"['FoxO signaling pathway', 'Cell cycle']"
['NaN'],CEBPB,['TNF signaling pathway']
['NaN'],CFLAR,"['NF-kappa B signaling pathway', 'TNF signaling pathway']"
['NaN'],CHD8,['Wnt signaling pathway']
['NaN'],CHEK1,"['p53 signaling pathway', 'Cell cycle']"
['NaN'],CHEK2,"['p53 signaling pathway', 'Cell cycle']"
['NaN'],CHUK,"['MAPK signaling pathway', 'Ras signaling pathway', 'Chemokine signaling pathway', 'NF-kappa B signaling pathway', 'FoxO signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'Toll-like receptor signaling pathway', 'NOD-like receptor signaling pathway', 'RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway', 'T cell receptor signaling pathway', 'B cell receptor signaling pathway', 'TNF signaling pathway', 'Adipocytokine signaling pathway']"
['NaN'],CIR1,['Notch signaling pathway']
['NaN'],COL6A1,['PI3K-Akt signaling pathway']
['NaN'],COP1,['p53 signaling pathway']
['NaN'],CPT1A,"['AMPK signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CREB1,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],CREB3,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],CREB3L2,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],CREB3L4,"['cGMP-PKG signaling pathway', 'cAMP signaling pathway', 'PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'TNF signaling pathway', 'Estrogen signaling pathway', 'Glucagon signaling pathway', 'Relaxin signaling pathway']"
['NaN'],CREBBP,"['cAMP signaling pathway', 'HIF-1 signaling pathway', 'Wnt signaling pathway', 'Notch signaling pathway', 'TGF-beta signaling pathway', 'JAK-STAT signaling pathway', 'Thyroid hormone signaling pathway', 'Glucagon signaling pathway', 'Cell cycle']"
['NaN'],CRK,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway']"
['NaN'],CRKL,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Rap1 signaling pathway', 'Chemokine signaling pathway', 'Neurotrophin signaling pathway', 'Insulin signaling pathway']"
['NaN'],CRTC2,"['PI3K-Akt signaling pathway', 'AMPK signaling pathway', 'Glucagon signaling pathway']"
['NaN'],CSNK1A1,"['Wnt signaling pathway', 'Hedgehog signaling pathway']"
['NaN'],CSNK1D,"['Hedgehog signaling pathway', 'Hippo signaling pathway']"
['NaN'],CSNK1E,"['FoxO signaling pathway', 'Wnt signaling pathway', 'Hedgehog signaling pathway', 'Hippo signaling pathway']"
['NaN'],CSNK1G1,['Hedgehog signaling pathway']
['NaN'],CSNK1G2,['Hedgehog signaling pathway']
['NaN'],CSNK1G3,['Hedgehog signaling pathway']
['NaN'],CSNK2A1,"['NF-kappa B signaling pathway', 'Wnt signaling pathway']"
['NaN'],CSNK2A2,"['NF-kappa B signaling pathway', 'Wnt signaling pathway']"
['NaN'],CSNK2A3,"['NF-kappa B signaling pathway', 'Wnt signaling pathway']"
['NaN'],CSNK2B,"['NF-kappa B signaling pathway', 'Wnt signaling pathway']"
['NaN'],CTBP1,"['Wnt signaling pathway', 'Notch signaling pathway']"
['NaN'],CTBP2,"['Wnt signaling pathway', 'Notch signaling pathway']"
['NaN'],CTGF,"['Apelin signaling pathway', 'Hippo signaling pathway']"
['NaN'],CTNNA1,['Hippo signaling pathway']
['NaN'],CTNNB1,"['Rap1 signaling pathway', 'Wnt signaling pathway', 'Hippo signaling pathway', 'Thyroid hormone signaling pathway']"
['NaN'],CTNNBIP1,['Wnt signaling pathway']
['NaN'],CTNND1,['Rap1 signaling pathway']
['NaN'],CTSB,['NOD-like receptor signaling pathway']
['NaN'],CTSD,"['Sphingolipid signaling pathway', 'Estrogen signaling pathway']"
['NaN'],CUL1,"['Wnt signaling pathway', 'Hedgehog signaling pathway', 'TGF-beta signaling pathway', 'Cell cycle']"
['NaN'],CUL3,['Hedgehog signaling pathway']
['NaN'],CXCL16,['Chemokine signaling pathway']
['NaN'],CYBA,['NOD-like receptor signaling pathway']
['NaN'],CYCS,['p53 signaling pathway']
['NaN'],CYLD,"['RIG-I-like receptor signaling pathway', 'C-type lectin receptor signaling pathway']"
['NaN'],CYTH1,['Phospholipase D signaling pathway']
['NaN'],CYTH2,['Phospholipase D signaling pathway']
['NaN'],CYTH3,['Phospholipase D signaling pathway']
['NaN'],DAAM1,['Wnt signaling pathway']
['NaN'],DAB2IP,['TNF signaling pathway']
['NaN'],DAXX,['MAPK signaling pathway']
['NaN'],DBF4,['Cell cycle']
['NaN'],DDB2,['p53 signaling pathway']
['NaN'],DDIT3,['MAPK signaling pathway']
['NaN'],DDIT4,"['mTOR signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],DDX58,"['NF-kappa B signaling pathway', 'RIG-I-like receptor signaling pathway']"
['NaN'],DEPDC5,['mTOR signaling pathway']
['NaN'],DHX33,['NOD-like receptor signaling pathway']
['NaN'],DIAPH1,['AGE-RAGE signaling pathway in diabetic complications']
['NaN'],DLG1,"['Hippo signaling pathway', 'T cell receptor signaling pathway']"
['NaN'],DLG4,['Hippo signaling pathway']
['NaN'],DNM1L,"['NOD-like receptor signaling pathway', 'TNF signaling pathway']"
['NaN'],DTX2,['Notch signaling pathway']
['NaN'],DTX3,['Notch signaling pathway']
['NaN'],DTX3L,['Notch signaling pathway']
['NaN'],DUSP1,['MAPK signaling pathway']
['NaN'],DUSP10,['MAPK signaling pathway']
['NaN'],DUSP16,['MAPK signaling pathway']
['NaN'],DUSP3,['MAPK signaling pathway']
['NaN'],DUSP4,['MAPK signaling pathway']
['NaN'],DUSP5,['MAPK signaling pathway']
['NaN'],DUSP6,['MAPK signaling pathway']
['NaN'],DUSP7,['MAPK signaling pathway']
['NaN'],DVL1,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Notch signaling pathway', 'Hippo signaling pathway']"
['NaN'],DVL2,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Notch signaling pathway', 'Hippo signaling pathway']"
['NaN'],DVL3,"['mTOR signaling pathway', 'Wnt signaling pathway', 'Notch signaling pathway', 'Hippo signaling pathway']"
['NaN'],E2F1,['Cell cycle']
['NaN'],E2F2,['Cell cycle']
['NaN'],E2F3,['Cell cycle']
['NaN'],E2F4,"['TGF-beta signaling pathway', 'Cell cycle']"
['NaN'],E2F5,"['TGF-beta signaling pathway', 'Cell cycle']"
['NaN'],EBAG9,['Estrogen signaling pathway']
['NaN'],ECSIT,['MAPK signaling pathway']
['NaN'],EEF2,"['AMPK signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],EEF2K,"['AMPK signaling pathway', 'Oxytocin signaling pathway']"
['NaN'],EFNA1,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],EFNA4,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],EFNA5,"['MAPK signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'PI3K-Akt signaling pathway']"
"['Afatinib', 'Erlotinib', 'Gefitinib', 'Lapatinib', 'Osimertinib']",EGFR,"['MAPK signaling pathway', 'ErbB signaling pathway', 'Ras signaling pathway', 'Rap1 signaling pathway', 'Calcium signaling pathway', 'HIF-1 signaling pathway', 'FoxO signaling pathway', 'Phospholipase D signaling pathway', 'PI3K-Akt signaling pathway', 'JAK-STAT signaling pathway', 'GnRH signaling pathway', 'Estrogen signaling pathway', 'Oxytocin signaling pathway', 'Relaxin signaling pathway']"
['NaN'],EGLN1,['HIF-1 signaling pathway']
['NaN'],EGLN2,['HIF-1 signaling pathway']
['NaN'],EGR1,"['Apelin signaling pathway', 'GnRH signaling pathway', 'AGE-RAGE signaling pathway in diabetic complications']"
['NaN'],EI24,['p53 signaling pathway']
['NaN'],EIF4B,"['mTOR signaling pathway', 'PI3K-Akt signaling pathway']"
['NaN'],EIF4E,"['HIF-1 signaling pathway', 'mTOR signaling pathway', 'PI3K-Akt signaling pathway', 'Insulin signaling pathway']"
