CELL_LINE_NAME,DRUG_NAME,AUC
OCI-AML3,Nilotinib,0.920585
NCI-H3122,Sorafenib,0.901825
KYSE-450,Leflunomide,0.903924
PL4,Leflunomide,0.895496
SK-MEL-24,Crizotinib,0.9668770000000001
SK-N-DZ,Ruxolitinib,0.9736299999999999
SJRH30,Dasatinib,0.9667030000000001
SAT,Erlotinib,0.8557739999999999
RPMI-7951,Sorafenib,0.896418
NCI-H526,Dabrafenib,0.965673
Detroit562,Ruxolitinib,0.977141
EW-13,Vorinostat,0.8603940000000001
KG-1,Palbociclib,0.9608
LN-229,Ulixertinib,0.9450265
SK-CO-1,Dabrafenib,0.9425459999999999
EB2,Navitoclax,0.8347899999999999
HuP-T4,Navitoclax,0.8210040000000001
Hs-746T,Tamoxifen,0.9456379999999999
HLE,Crizotinib,0.9944780000000001
LXF-289,Erlotinib,0.9829379999999999
TE-6,Dasatinib,0.829039
NCI-H2023,MK-1775,0.717026
WM35,Ulixertinib,0.7503249999999999
CHP-212,Vinblastine,0.564483
HPAF-II,Daporinad,0.929314
SK-N-AS,Sorafenib,0.9052049999999999
RCC-JW,Daporinad,0.580291
SNU-1,Lapatinib,0.9333819999999999
TGBC1TKB,Daporinad,0.925026
MDST8,Lapatinib,0.907258
C3A,Tamoxifen,0.965973
HSC-39,Vinblastine,0.472303
KP-1N,Navitoclax,0.918851
NCI-H2342,Dasatinib,0.985534
RH-41,Dabrafenib,0.9867530000000001
ALL-SIL,Lapatinib,0.8528379999999999
CAPAN-1,Lapatinib,0.9155270000000001
H-EMC-SS,Daporinad,0.8116140000000001
MLMA,Trametinib,0.989497
CAL-51,MK-1775,0.653197
IST-MES1,Daporinad,0.8327379999999999
U-87-MG,MK-1775,0.900532
NCI-H596,Vinblastine,0.9469299999999999
T-T,Lapatinib,0.734951
CAS-1,Crizotinib,0.9858110000000001
CS1,Vorinostat,0.7520439999999999
HEC-1,Vinblastine,0.957506
NCI-H2023,Dabrafenib,0.952895
HMV-II,Dasatinib,0.958564
NCI-H2170,Ulixertinib,0.9635035
RH-1,Lapatinib,0.8783350000000001
HSC-39,Lapatinib,0.8195370000000001
CAL-27,Lapatinib,0.853917
KGN,Staurosporine,0.13328299999999998
SW48,Vorinostat,0.7879999999999999
MOLT-13,Dasatinib,0.990667
OVCAR-8,Staurosporine,0.282161
BT-474,Palbociclib,0.9706969999999999
LK-2,Daporinad,0.5933390000000001
JHH-7,Crizotinib,0.97883
MDA-MB-361,Trametinib,0.972577
CW-2,Lapatinib,0.8413209999999999
AGS,Erlotinib,0.9526870000000001
GR-ST,MK-1775,0.600617
HCC1395,Ribociclib,0.9551729999999999
RH-1,Dasatinib,0.986671
GOTO,Erlotinib,0.959992
KINGS-1,Nilotinib,0.9847610000000001
LOUCY,Gefitinib,0.9866739999999999
G-361,Erlotinib,0.9589280000000001
TT,Staurosporine,0.883927
NCI-H1650,Sorafenib,0.9345129999999999
HSC-4,Ulixertinib,0.9474049999999999
SW982,Dabrafenib,0.901399
NUGC-4,Vinblastine,0.969183
NCI-H1299,Dabrafenib,0.935684
KGN,Ulixertinib,0.9386385
SNU-182,Leflunomide,0.9027620000000001
NY,Ruxolitinib,0.934218
NCI-H2347,Vinblastine,0.9478790000000001
23132-87,Dasatinib,0.9024129999999999
